# file	test	verdict	target_placement	note
# verdict: keep | move-inline | move-to-tests | regroup | delete
# `delete` rows must name their survivor in the note (CLN-04).
crates/piperine-api/src/fourier.rs	fails_loud_on_n_harmonics_below_two	keep	inline	hint:unit
crates/piperine-api/src/fourier.rs	fails_loud_on_nonpositive_f0	keep	inline	hint:unit
crates/piperine-api/src/fourier.rs	fails_loud_on_span_shorter_than_one_period	keep	inline	hint:unit
crates/piperine-api/src/fourier.rs	hd3_and_thd_match_synthesized_two_tone	keep	inline	hint:unit
crates/piperine-api/src/fourier.rs	matches_numpy_fft_reference_on_multi_tone	keep	inline	hint:unit
crates/piperine-api/src/fourier.rs	resamples_nonuniform_grid_before_dft	keep	inline	hint:unit
crates/piperine-api/src/units.rs	freq_accepts_bare_f64	keep	inline	hint:unit
crates/piperine-api/src/units.rs	freq_garbage_string_fails_loud	keep	inline	hint:unit
crates/piperine-api/src/units.rs	freq_parses_si_suffixed_strings	keep	inline	hint:unit
crates/piperine-api/src/units.rs	time_parses_si_suffixed_strings	keep	inline	hint:unit
crates/piperine-api/tests/smoke.rs	dependency_set_is_lang_codegen_solver_only	keep	tests	hint:integration
crates/piperine-api/tests/smoke.rs	op_analysis_through_piperine_api	keep	tests	hint:integration
crates/piperine-api/tests/temp_sweep.rs	temp_sweep_diode_forward_drop_shifts_minus_2mv_per_c	keep	tests	hint:integration
crates/piperine-cli/tests/add_cmd.rs	a_plugin_declaring_no_permissions_needs_no_consent	keep	tests	hint:integration
crates/piperine-cli/tests/add_cmd.rs	accept_all_mode_grants_and_proceeds	keep	tests	hint:integration
crates/piperine-cli/tests/add_cmd.rs	declared_permissions_are_printed_and_a_deny_aborts	keep	tests	hint:integration
crates/piperine-cli/tests/add_cmd.rs	malformed_positional_source_fails_loud	keep	tests	hint:integration
crates/piperine-cli/tests/add_cmd.rs	positional_full_git_url_is_verbatim_and_names_the_package	keep	tests	hint:integration
crates/piperine-cli/tests/add_cmd.rs	reject_mode_denies_deterministically	keep	tests	hint:integration
crates/piperine-cli/tests/build_cmd.rs	codegen_failure_exits_nonzero_attributed_to_module	keep	tests	hint:integration
crates/piperine-cli/tests/build_cmd.rs	elaboration_failure_exits_nonzero_with_error	keep	tests	hint:integration
crates/piperine-cli/tests/build_cmd.rs	explicit_file_argument_overrides_default_discovery	keep	tests	hint:integration
crates/piperine-cli/tests/build_cmd.rs	library_only_project_prints_note_and_exits_zero	keep	tests	hint:integration
crates/piperine-cli/tests/build_cmd.rs	valid_zero_port_design_builds_and_exits_zero	keep	tests	hint:integration
crates/piperine-cli/tests/cli_check.rs	check_ppr_resistor_extracts_module	regroup	tests	rename to check_cmd.rs — matches add_cmd/build_cmd; header names a plan phase
crates/piperine-cli/tests/run_examples.rs	test_all_examples_compile	delete	tests	survivor: tests/run_examples.rs::every_example_phdl_elaborates (same layer, same assertion)
crates/piperine-cli/tests/test_tb.rs	discovery_finds_tb_files_and_skips_venv_and_target	keep	tests	hint:integration
crates/piperine-cli/tests/test_tb.rs	explicit_file_runs_only_it	keep	tests	hint:integration
